9	X	X	171	9	9	X	9	9	11	9	X
X	X	X	X	9	9	X	9	9	25	X	X
9	X	X	X	9	9	X	9	10	20	X	X
9	X	X	X	9	9	X	X	9	20	X	X
9	30	X	X	10	9	9	9	9	X	9	X
9	36	X	X	10	9	9	9	9	X	X	X
9	X	X	X	10	9	9	9	0	13	9	X
9	30	X	X	10	9	0	9	9	X	X	X
48	X	45	171	9	9	9	9	9	25	X	X
48	X	59	X	9	9	9	9	9	25	X	X
X	X	X	X	17	9	9	9	9	25	X	X
X	X	X	X	9	9	X	9	9	X	X	X
48	X	X	X	10	9	9	9	9	11	X	X
48	X	X	X	10	9	9	9	9	X	X	X
9	X	X	X	X	9	X	9	9	9	X	X
9	X	X	X	27	9	19	9	9	X	X	X
X	X	X	171	10	10	X	9	9	X	9	X
X	X	X	X	10	10	X	9	X	X	X	X
X	X	X	X	10	10	X	9	9	X	9	X
X	X	X	X	10	10	X	9	31	X	X	X
9	X	X	X	X	9	9	9	X	X	9	X
12	198	X	X	X	X	X	9	9	X	9	X
X	X	X	X	X	X	9	9	X	66	9	X
X	70	X	X	X	10	X	X	9	X	9	X
9	X	9	X	10	10	19	9	9	292	9	X
9	X	9	X	10	10	X	9	9	X	9	X
9	X	9	X	10	10	X	9	9	X	9	X
9	X	9	X	10	10	X	9	9	9	X	X
41	X	9	X	X	1100	9	9	9	X	9	X
X	X	9	X	34	X	9	9	9	X	X	X
9	X	9	X	X	X	9	9	9	9	9	X
X	X	9	X	34	X	9	9	9	X	9	X
0	X	X	162	0	0	10	0	0	2	0	X
X	0	X	X	0	0	X	0	0	16	X	X
X	X	X	X	0	0	X	0	0	16	0	X
X	165	X	X	0	0	X	X	0	16	X	X
0	X	168	376	1	0	5	0	X	4	0	X
0	33	X	376	1	0	5	X	0	X	X	X
0	21	0	X	1	0	0	0	X	4	127	X
0	34	X	X	1	0	0	X	0	X	X	X
39	X	50	162	0	0	0	0	0	11	0	X
39	X	50	X	0	0	14	0	0	33	X	X
39	X	X	162	1	0	10	0	0	16	X	X
39	X	X	X	0	0	X	50	0	16	X	X
0	539	X	376	1	0	0	0	0	0	0	X
6	537	X	X	1	0	0	0	0	112	X	X
0	539	X	X	1	0	0	0	0	1	127	X
0	X	X	X	1	0	0	0	0	0	X	X
0	235	34	428	1	1	X	0	0	0	0	X
X	X	X	X	1	1	X	0	22	X	0	X
0	273	150	X	1	1	1000	0	0	16	0	X
X	31	X	X	1	1	X	0	3	X	0	X
0	1046	152	X	X	1089	0	0	X	4	0	32
X	250	X	X	25	1	0	0	0	X	X	X
282	959	136	X	X	1086	0	0	X	X	0	X
0	59	X	X	X	X	0	X	X	X	0	X
0	X	0	432	1	1	10	0	0	16	0	X
0	X	0	X	1	1	10	0	0	16	0	X
0	X	0	475	1	1	10	0	0	16	0	X
0	X	0	X	1	1	X	0	0	16	X	X
0	X	0	376	X	1090	0	0	0	54	0	X
X	X	0	X	X	X	0	0	0	4	0	X
32	993	0	X	X	X	0	0	0	4	0	X
X	X	0	376	X	X	0	0	0	78	0	X
